                           |                  ClosetAI |                    Icebox |           evolve-active-2 |           evolve-active-4 |    evolve-specialized-all |   evolve-specialized-lerp |        evolve-specialized |           evolve-standard |          evolve-variant-2 |          evolve-variant-4 |         random-exhaustive |         random-tournament |                    Average|
ClosetAI                   |                         - |             49.15 ±  0.48 |             49.66 ±  0.16 |             49.88 ±  0.10 |             50.66 ±  0.19 |             49.10 ±  0.10 |             49.38 ±  0.17 |             50.49 ±  0.11 |             49.84 ±  0.07 |             52.05 ±  0.15 |             51.33 ±  0.15 |             51.19 ±  0.20 |             50.25 ±  0.09 |
Icebox                     |             50.85 ±  0.48 |                         - |             51.01 ±  0.20 |             51.10 ±  0.17 |             52.05 ±  0.16 |             50.54 ±  0.11 |             50.81 ±  0.26 |             51.76 ±  0.10 |             51.24 ±  0.39 |             53.42 ±  0.11 |             52.60 ±  0.15 |             52.80 ±  0.25 |             51.65 ±  0.14 |
evolve-active-2            |             50.34 ±  0.16 |             48.99 ±  0.20 |                         - |             50.13 ±  0.03 |             50.93 ±  0.05 |             49.35 ±  0.03 |             49.61 ±  0.02 |             50.76 ±  0.03 |             50.10 ±  0.04 |             52.28 ±  0.04 |             51.74 ±  0.04 |             51.57 ±  0.06 |             50.53 ±  0.03 |
evolve-active-4            |             50.12 ±  0.10 |             48.90 ±  0.17 |             49.87 ±  0.03 |                         - |             50.82 ±  0.03 |             49.24 ±  0.04 |             49.51 ±  0.03 |             50.67 ±  0.02 |             49.97 ±  0.05 |             52.21 ±  0.05 |             51.66 ±  0.03 |             51.49 ±  0.05 |             50.40 ±  0.02 |
evolve-specialized         |             50.62 ±  0.17 |             49.19 ±  0.26 |             50.39 ±  0.02 |             50.49 ±  0.03 |             51.34 ±  0.05 |             49.75 ±  0.02 |                         - |             51.14 ±  0.03 |             50.47 ±  0.03 |             52.67 ±  0.03 |             52.14 ±  0.05 |             51.99 ±  0.06 |             50.92 ±  0.02 |
evolve-specialized-all     |             49.34 ±  0.19 |             47.95 ±  0.16 |             49.07 ±  0.05 |             49.18 ±  0.03 |                         - |             48.45 ±  0.05 |             48.66 ±  0.05 |             49.81 ±  0.03 |             49.14 ±  0.06 |             51.36 ±  0.04 |             50.80 ±  0.05 |             50.62 ±  0.08 |             49.49 ±  0.04 |
evolve-specialized-lerp    |             50.90 ±  0.10 |             49.46 ±  0.11 |             50.65 ±  0.03 |             50.76 ±  0.04 |             51.55 ±  0.05 |                         - |             50.25 ±  0.02 |             51.39 ±  0.03 |             50.72 ±  0.04 |             52.91 ±  0.04 |             52.34 ±  0.04 |             52.20 ±  0.02 |             51.19 ±  0.03 |
evolve-standard            |             49.51 ±  0.11 |             48.24 ±  0.10 |             49.24 ±  0.03 |             49.33 ±  0.02 |             50.19 ±  0.03 |             48.61 ±  0.03 |             48.86 ±  0.03 |                         - |             49.33 ±  0.02 |             51.56 ±  0.05 |             51.02 ±  0.05 |             50.84 ±  0.06 |             49.71 ±  0.01 |
evolve-variant-2           |             50.16 ±  0.07 |             48.76 ±  0.39 |             49.90 ±  0.04 |             50.03 ±  0.05 |             50.86 ±  0.06 |             49.28 ±  0.04 |             49.53 ±  0.03 |             50.67 ±  0.02 |                         - |             52.23 ±  0.04 |             51.66 ±  0.07 |             51.49 ±  0.03 |             50.41 ±  0.05 |
evolve-variant-4           |             47.95 ±  0.15 |             46.58 ±  0.11 |             47.72 ±  0.04 |             47.79 ±  0.05 |             48.64 ±  0.04 |             47.09 ±  0.04 |             47.33 ±  0.03 |             48.44 ±  0.05 |             47.77 ±  0.04 |                         - |             49.42 ±  0.04 |             49.23 ±  0.06 |             47.99 ±  0.02 |
random-exhaustive          |             48.67 ±  0.15 |             47.40 ±  0.15 |             48.26 ±  0.04 |             48.34 ±  0.03 |             49.20 ±  0.05 |             47.66 ±  0.04 |             47.86 ±  0.05 |             48.98 ±  0.05 |             48.34 ±  0.07 |             50.58 ±  0.04 |                         - |             49.81 ±  0.04 |             48.64 ±  0.03 |
random-tournament          |             48.81 ±  0.20 |             47.20 ±  0.25 |             48.43 ±  0.06 |             48.51 ±  0.05 |             49.38 ±  0.08 |             47.80 ±  0.02 |             48.01 ±  0.06 |             49.16 ±  0.06 |             48.51 ±  0.03 |             50.77 ±  0.06 |             50.19 ±  0.04 |                         - |             48.80 ±  0.06 |
